Brand,Color,Price,no_of_star,rating,discount,Model,Ton
NU,White,"₹33,990",5,3.6,39% off,2023,1.5
Panasonic,,"₹65,990",5,4.3,24% off,2023,
LG,White,"₹42,140",5,4,29% off,,1.5
Haier,,"₹33,999",5,4,47% off,2023,
LG,,"₹31,790",3,4,47% off,,1.5
Lloyd,White,"₹34,899",3,4.4,44% off,2023,1.5
Blue,,"₹30,990",3,4.2,31% off,2023,0.9
Panasonic,White,"₹33,486",5,4.4,32% off,,
Midea,,"₹33,999",3,4,44% off,2023,1.5
CANDY,White,"₹26,990",3,5,30% off,2023,1.5
Daikin,White,"₹43,490",3,3.9,29% off,,1.5
Godrej,White,"₹32,900",3,4.1,25% off,,1.5
Midea,,"₹41,999",3,4,41% off,2023,
SAMSUNG,White,"₹38,990",4,4.2,40% off,,1.5
Godrej,White,"₹29,292",3,4.6,30% off,2023,
Hitachi,,"₹37,490",3,3.9,40% off,2023,1.5
Lloyd,White,"₹29,590",3,4.1,27% off,,1.5
ONIDA,White,"₹28,990",3,4.3,29% off,2023,
Midea,White,"₹24,990",3,4,46% off,,
MarQ,White,"₹29,999",3,4.1,34% off,,
SAMSUNG,White,"₹29,490",3,4.1,42% off,,
Blue,White,"₹43,990",5,4.2,,,1.5
Panasonic,,"₹37,990",5,4.3,30% off,2023,
Daikin,White,"₹34,990",3,4.1,23% off,,
Daikin,White,"₹44,878",5,4.1,33% off,,1.5
Voltas,White,"₹55,590",5,4.3,35% off,,
SAMSUNG,White,"₹32,841",5,4.1,50% off,,1.5
LG,,"₹47,990",5,4,42% off,2023,1.5
Voltas,White,"₹34,989",3,4.3,41% off,,1.5
CARRIER,White,"₹27,999",3,4.3,28% off,,
IFB,,"₹40,490",3,4.2,24% off,2023,1.6
Haier,White,"₹32,490",3,4,46% off,,1.2
Haier,,"₹38,490",3,3.8,42% off,2023,1.5
Voltas,White,"₹32,490",3,3.8,42% off,2023,
Haier,,"₹42,990",5,4.8,50% off,2023,1.6
Lloyd,White,"₹39,999",5,4.2,35% off,,1.5
Godrej,White,"₹32,449",3,,33% off,,1.5
Daikin,White,"₹37,270",3,4.3,32% off,,1.5
Lloyd,Red,"₹60,990",3,,,,1.5
Whirlpool,White,"₹25,867",3,4.1,58% off,,1.5
ONIDA,White,"₹32,900",3,,26% off,2023,1.5
CARRIER,,"₹33,880",3,4.2,49% off,2023,1.5
Lloyd,White,"₹26,999",3,4.2,43% off,2023,0.8
LG,White,"₹31,707",5,4.3,35% off,,1.5
Blue,,"₹37,990",5,4.2,38% off,2023,
Voltas,White,"₹35,760",2,3.7,25% off,2023,
Lloyd,White,"₹30,990",3,3.9,38% off,2023,
Daikin,White,"₹49,499",3,4.2,32% off,2023,1.8
IFB,White,"₹37,600",3,,24% off,,1.5
Blue,White,"₹39,990",5,4.7,33% off,,
SAMSUNG,,"₹38,900",3,4.2,38% off,2023,1.5
Godrej,White,"₹32,679",3,4.1,33% off,,1.5
Lloyd,White,"₹34,999",3,5,27% off,,1.5
Hitachi,Gold,"₹34,101",5,4,43% off,,1.5
LG,,"₹63,490",3,4.2,29% off,2023,
Haier,,"₹30,990",3,4,46% off,2023,
Panasonic,,"₹54,990",4,4.3,28% off,2023,
Blue,White,"₹25,490",2,4.1,17% off,2023,
LG,,"₹41,014",3,4.1,52% off,,
IFB,White,"₹40,999",5,3.8,28% off,,1.5
LG,White,"₹36,990",3,,39% off,,1.5
MarQ,White,"₹35,500",5,4.4,37% off,,1.5
Godrej,White,"₹31,999",3,4,33% off,,1.5
LG,White,"₹32,599",3,4.3,18% off,,1.5
Blue,White,"₹35,990",3,,41% off,2023,1.5
Godrej,White,"₹31,999",3,4,33% off,,1.5
LG,White,"₹32,599",3,4.3,18% off,,1.5
Daikin,White,"₹44,780",5,4,46% off,,1.5
Midea,,"₹51,999",5,4,36% off,2023,
Daikin,White,"₹44,444",5,4.3,33% off,,1.5
Lloyd,White,"₹28,990",3,4.3,43% off,,
SAMSUNG,White,"₹31,390",3,4.8,48% off,2023,
Daikin,White,"₹33,790",3,4.1,29% off,,
ONIDA,White,"₹38,490",5,4.3,24% off,2023,1.5
O,White,"₹41,100",,,11% off,,1.1
Daikin,White,"₹39,990",5,3.8,27% off,,
Lloyd,White,"₹26,990",3,4.2,43% off,2023,0.8
TOSHIBA,White,"₹36,593",5,1.5,40% off,,1.5
Godrej,White,"₹33,900",5,4.3,32% off,,
Blue,White,"₹29,510",3,4.1,25% off,2023,1.5
CARRIER,,"₹38,490",4,4.1,43% off,,1.5
Hitachi,,"₹57,999",4,3.7,39% off,2023,1.8
SAMSUNG,White,"₹37,900",3,3,41% off,2023,1.5
Panasonic,White,"₹29,139",3,4.4,35% off,,
LG,,"₹41,014",3,4.1,52% off,,
Blue,White,"₹35,990",3,3.4,41% off,2023,1.5
MarQ,White,"₹35,500",5,4.4,37% off,,1.5
Godrej,,"₹31,490",3,3.7,30% off,2023,1.4
Hitachi,,"₹33,999",3,3.7,38% off,2023,
SAMSUNG,White,"₹32,999",3,4.7,48% off,2023,
CARRIER,White,"₹32,999",3,4.3,39% off,,
Daikin,White,"₹45,590",5,,38% off,,1.5
Blue,White,"₹31,950",3,4.2,37% off,,
TOSHIBA,White,"₹43,910",5,4,40% off,,1.8
SAMSUNG,,"₹33,999",3,4.2,37% off,2023,
ONIDA,White,"₹31,490",3,4.3,28% off,2023,1.5
Daikin,White,"₹43,990",1,,28% off,,1.8
Lloyd,White,"₹42,000",5,4.2,39% off,2023,1.5
Hitachi,White,"₹44,590",5,,38% off,2023,1.5
IFB,,"₹29,990",2,4.2,25% off,2023,
Voltas,White,"₹44,200",,,44% off,,
Daikin,White,"₹31,999",3,4.2,8% off,,1.5
Hitachi,White,"₹36,930",3,4,33% off,,1.5
Panasonic,,"₹49,999",5,4.1,34% off,2023,1.5
Hitachi,White,"₹42,700",5,3.7,40% off,,1.5
Daikin,White,"₹40,580",3,4.1,27% off,,1.5
ONIDA,White,"₹29,990",3,4.2,38% off,,
MarQ,White,"₹25,999",3,4,42% off,,0.8
Voltas,White,"₹44,300",5,,37% off,,1.5
LG,,"₹37,990",5,4.2,44% off,2023,
Hitachi,,"₹38,499",5,3.7,39% off,2023,
Panasonic,White,"₹37,500",5,,,,1.5
Daikin,White,"₹62,999",3,,27% off,,2.02
ONIDA,White,"₹29,990",3,4.2,38% off,,
LG,,"₹37,990",5,4.2,44% off,2023,
Panasonic,White,"₹37,500",5,4.2,,,1.5
Daikin,White,"₹62,999",3,,27% off,,2.02
SAMSUNG,White,"₹56,500",3,4.8,10% off,,1.5
Panasonic,White,"₹36,586",3,3.6,38% off,,
SAMSUNG,White,"₹32,999",3,4.7,48% off,2023,
Voltas,White,"₹38,499",4,4.2,44% off,,1.5
SAMSUNG,White,"₹53,539",3,,36% off,2023,
Lloyd,White,"₹42,599",5,4.1,30% off,,1.5
SAMSUNG,White,"₹43,500",5,4.3,15% off,,
Blue,White,"₹33,999",5,4.1,2% off,,
Hitachi,White,"₹36,990",3,3.8,36% off,,1.5
MarQ,,"₹24,999",3,,43% off,,0.7
Hitachi,White,"₹42,240",,,41% off,,1.5
Lloyd,White,"₹36,990",3,3.8,39% off,,1.5
Daikin,White,"₹40,330",3,,34% off,,1.5
Hitachi,White,"₹47,999",3,4.3,24% off,,1.5
Daikin,White,"₹59,990",3,4.8,30% off,,2.02
Daikin,White,"₹39,490",3,4.1,32% off,,1.5
Hitachi,,"₹48,999",3,3.7,33% off,2023,1.8
Hitachi,White,"₹30,490",3,4,47% off,,1.5
Blue,White,"₹51,999",3,,18% off,,
LG,,"₹38,990",3,4.2,51% off,,1.5
Voltas,White,"₹42,749",3,,46% off,2023,1.5
Whirlpool,White,"₹32,999",3,4.2,26% off,,1.5
Voltas,White,"₹32,024",5,4.3,53% off,,1.5
Lloyd,White,"₹54,900",5,4.2,36% off,2023,
Blue,White,"₹28,499",2,4.1,24% off,2023,1.5
SAMSUNG,White,"₹36,900",3,,41% off,2023,1.5
TOSHIBA,White,"₹30,798",5,4,38% off,,
LG,White,"₹49,990",5,,39% off,2023,1.5
Lloyd,White,"₹49,500",3,3.9,28% off,,
Blue,White,"₹59,999",5,4.4,25% off,,
MarQ,White,"₹15,999",3,4.3,60% off,,
IFB,,"₹41,490",4,4.2,24% off,2023,1.5
Daikin,White,"₹33,990",,,29% off,,
Godrej,White,"₹29,490",3,4.2,31% off,,
Hisense,White,"₹31,990",5,4.2,15% off,,
LG,White,"₹48,990",5,,43% off,2023,1.5
Lloyd,White,"₹36,999",5,,26% off,,
Hitachi,White,"₹49,890",4,,30% off,,1.5
CARRIER,White,"₹43,880",5,4.8,13% off,,1.5
Panasonic,White,"₹38,990",3,,35% off,2023,1.5
Blue,White,"₹31,490",3,,39% off,,
SAMSUNG,White,"₹45,990",5,,11% off,2023,1.5
Voltas,White,"₹35,999",3,4.1,47% off,2023,1.5
Panasonic,White,"₹36,139",3,,34% off,2023,1.5
Blue,White,"₹31,490",3,,39% off,,
Hitachi,White,"₹35,549",2,,34% off,,1.5
Lloyd,White,"₹38,975",4,4.4,35% off,,1.5
SAMSUNG,White,"₹45,990",5,,11% off,2023,1.5
Voltas,White,"₹35,999",3,4.1,47% off,2023,1.5
Panasonic,White,"₹36,139",3,,34% off,2023,1.5
LG,White,"₹42,990",3,4.5,39% off,,1.5
Blue,White,"₹51,490",5,,33% off,,1.5
MarQ,White,"₹27,990",3,4.2,28% off,,1.5
Daikin,White,"₹52,250",3,3.9,17% off,,1.8
Lloyd,White,"₹29,590",3,4.8,27% off,,1.5
Panasonic,White,"₹36,750",3,4.7,33% off,2023,1.5
Blue,White,"₹43,490",,,37% off,,1.5
SAMSUNG,White,"₹64,990",4,,,,1.5
Blue,White,"₹39,999",3,4.2,9% off,,
Blue,White,"₹35,699",3,4.1,31% off,,1.5
Blue,,"₹39,399",2,4.2,24% off,2023,1.5
Godrej,White,"₹34,899",,,36% off,2023,1.5
Voltas,White,"₹37,449",3,3.7,44% off,,1.5
Voltas,White,"₹30,449",3,4.2,46% off,2023,
Blue,White,"₹49,399",5,,32% off,,1.5
LG,White,"₹39,699",,4.8,41% off,2023,1.5
CARRIER,White,"₹37,350",3,,39% off,,1.5
Lloyd,White,"₹36,999",5,,43% off,,
Lloyd,White,"₹38,975",4,4.4,35% off,,1.5
Blue,White,"₹40,011",3,,23% off,,1.5
Whirlpool,White,"₹32,900",3,3.9,25% off,,1.5
Blue,White,"₹39,890",3,4.8,35% off,,1.5
CARRIER,White,"₹30,450",3,4.8,32% off,,1.5
Blue,White,"₹59,891",5,2,28% off,,
Hitachi,Gold,"₹46,490",5,4,41% off,,
Daikin,White,"₹50,815",3,,30% off,,1.8
SAMSUNG,White,"₹41,000",3,4.8,14% off,,
Sansui,White,"₹31,500",,,45% off,2023,1.5
Panasonic,White,"₹40,441",5,4.4,29% off,,1.5
realme,White,"₹35,499",5,4.2,45% off,2023,1.5
Hitachi,,"₹33,145",3,4,28% off,2023,
LG,White,"₹49,999",,,34% off,,1.5
Panasonic,White,"₹37,200",3,4.1,31% off,,1.5
O,White,"₹34,299",4,2,6% off,,
Voltas,White,"₹26,600",3,,26% off,2023,
SAMSUNG,White,"₹44,900",5,3.7,38% off,,1.5
LG,White,"₹45,954",4,,36% off,,1.5
CANDY,White,"₹33,990",5,5,29% off,2023,1.5
Panasonic,White,"₹32,490",3,,32% off,,
Voltas,White,"₹44,300",5,4.5,37% off,,1.5
Voltas,White,"₹51,990",3,,,,1.5
Daikin,White,"₹44,800",4,4.2,23% off,,1.5
Panasonic,White,"₹40,299",3,,32% off,2023,1.5
Voltas,White,"₹29,200",3,3.8,48% off,,
Hitachi,White,"₹39,799",3,3.7,31% off,,1.5
SAMSUNG,White,"₹39,990",3,,35% off,,1.5
Voltas,White,"₹31,990",3,4.2,30% off,,
Lloyd,White,"₹24,990",2,3.9,37% off,,
O,White,"₹50,900",2,,7% off,,
CARRIER,White,"₹46,990",5,,38% off,,1.5
TOSHIBA,White,"₹56,990",5,1,20% off,,1.5
Voltas,White,"₹48,490",,,35% off,,
CARRIER,White,"₹39,490",4,3.3,42% off,,1.5
Godrej,White,"₹39,999",5,4.2,27% off,,1.5
O,White,"₹81,900",5,,5% off,,
Blue,White,"₹33,790",3,3.8,24% off,2023,1.5
Godrej,White,"₹40,800",5,4.5,21% off,,1.5
Kelvinator,White,"₹33,499",3,,32% off,,1.5
Panasonic,White,"₹34,950",3,,27% off,2023,
Hitachi,White,"₹23,236",3,3.9,32% off,,1.5
CARRIER,White,"₹38,680",2,,37% off,,1.5
Mitsubishi,White,"₹37,500",,,18% off,,0.8
Daikin,White,"₹39,890",,,31% off,,1.5
Hitachi,White,"₹27,690",2,4.1,10% off,2023,
Blue,White,"₹39,999",3,4.1,15% off,,
Daikin,White,"₹61,750",5,3.5,17% off,,1.8
Blue,White,"₹37,999",5,4.2,35% off,,
Daikin,White,"₹39,890",,,31% off,,1.5
Hitachi,White,"₹27,690",2,4.1,10% off,2023,
Daikin,White,"₹61,750",5,3.5,17% off,,1.8
Blue,White,"₹39,999",3,4.1,15% off,,
Hitachi,,"₹32,990",3,4,29% off,2023,
